Chemical Formula,Space Group Number,Band gap (eV)
ZnHgCl4,13,2.465
BaTmH4,13,0.051
ZnSnF4,13,2.435
MnZnCl4,13,1.795
CaCuI4,13,0.002
SmMgS2,225,0.072
EuH4W,13,0
BaSrH4,13,0.817
EuTmBr4,3,0
CdGeCl4,13,2.682
CaZnI4,13,2.372
KInCl4,13,3.689
CdCuCl4,13,0.063
NaCeBr4,13,0.318
YHI2,10,2.03
CsTlCl2,225,3.852
HoTlI4,13,2.848
TmVO4,13,2.046
ErI2F,164,2.579
ZnHgBr4,13,1.967
NiSnF4,13,2.944
SnClF,216,2.215
BaTiCl4,13,0.383
YbTeI,216,0.09
CaReBr4,13,1.017
Cs2HI,15,2.085
YSCl,216,2.722
BeCdF4,13,4.052
Na2IF,164,1.431
SmCdBr4,13,0.037
YSBr,216,2.701
BaPtBr4,13,1.543
TbTeBr,216,1.494
CsKH2,12,2.701
Cs2IBr,15,3.872
TbCuBr4,13,2.282
CdSnCl4,13,2.474
LiTlI2,164,2.202
LiNdH4,13,1.288
NaTbS2,15,2.474
KScO2,164,3.872
MgPbF4,13,4.114
KTlF2,164,3.538
DyTlF4,13,3.557
SmBeO2,225,0.128
HoTlCl4,13,4.278
ScBrO,216,1.613
TbSO,216,0.05
TmCdH4,13,0.011
SmCuI4,13,1.921
RbTlF2,164,3.777
NaVF4,13,2.523
MgICl,216,1.999
PrH2F,216,0.905
Na2SmH4,62,0.028
Na2SmH4,194,0.017
YbCoF4,166,3.937
MgZnF4,16,4.778
NaTmH4,63,0.24
KNaBr2,187,0.108
LaSbO3,99,1.954
BaZrO3,62,3.015
SmH6Pd,205,0.082
NdH4Au,180,0.16
Cs5SeCl9,164,2.687
MgMoF4,14,2.8
KCoF3,1,2.939
ZrB3HO6,200,0.082
Na2TeO4,82,2.474
Na3HS,62,3.022
MoOF3,107,2.784
Tb2NCl5,55,0.108
Be2NF,198,2.825
YbHf2F10,123,0.16
PrHoO3,140,0.728
KBaH3,62,2.552
Mg2AsCl,53,0.019
P2RuS,12,0.001
Sr2BrN,123,0.108
Na4MgH6,200,0.125
TmH4Pb,63,0.015
Na4Sm3H13,223,0.017
CuSi2F9,191,0.188
TaH3O4,218,1.135
BaTe2O7,15,0.442
SiH3Cl,1,0
Hf2SeO3,2,0.072
H2CS,44,0.985
