Chemical Formula,Space Group Number,Ed (eV/atom)
VSeCl7,1,0.099
CuClO4,121,0.279
Ti2SiO5,2,0.059
BH6IO4,15,0.147
CoCuSnS4,74,0.105
CuBF5,13,0.116
Ga5CuS8,216,0.175
Al2Cr3CuSe8,160,0.052
FeBiSCl4,82,0.108
TlInSi3O8,2,0.036
CrBiSCl4,82,0.168
In2PbS4,66,0.081
AlAgS2,194,0.076
SrAsF7,2,0.012
Ti6Cd4SO12,217,0.36
Ti2PbS4,66,0.258
ScAgSe2,122,0.158
Ba5As3ClO9,176,-0.022
MnCuS2,122,0.115
AsPbF7,62,0.133
Tl3Ga7S12,4,0.036
KAlI4,14,-0.049
ScInI4,11,0.061
Co2HgSe4,82,0.236
TiH4NF4,135,0.075
KAsO3,148,0.107
Cu2SnHgSe4,31,0.122
Cr2CdS4,82,0.329
AgSb3S5,12,0.026
Cr2PbS4,66,0.265
RbBi3S5,12,0.034
H2CO3,11,0.012
Sc2BiSe4,126,0.214
Cr3Fe2CuS8,160,0.153
Ag2HgCl4,82,0.058
SiAg2PbS4,40,0.047
Li2S2O7,2,0.022
CuBO2,194,0.714
FeBiCl6,14,-0.017
TlInSiO4,161,0.109
TiH6IO4,15,0.044
TiHSO5,15,0.146
Na5PSeO4,129,0.032
Ca2As3BrO6,11,-0.012
Ba2As3BrO6,11,-0.025
AlSI7,7,0.141
Ti4Bi2O9,55,0.258
Cd2AgNO5,62,0.14
Ag3AsSe4,31,0.005
Ti2SO6,18,0.374
VH3NCl3,61,0.072
AlAsO4,65,0.042
AlCuGeS4,82,0.07
TiCuSe2,122,0.358
Ag2HgBr4,82,0.058
ReAsF12,205,0.074
Ti2BiSe4,126,0.248
Ga4B2O9,12,0.041
In2PbSe4,66,0.078
AlH14SNO14,2,0.003
FeCuBr4,112,0.0
AlH6S4Br,9,0.916
Li2SO4,70,0.043
V2HgSe4,82,0.28
Mn2ZnSe4,82,0.191
